"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"GK","Ben Hamer",2500,"EVE@LEI 12:30PM ET",0,"LEI"
"M","Yoan Gouffran",2500,"NEW@AVL 10:00AM ET",1.813,"NEW"
"M","Jack Rodwell",2500,"CHE@SUN 10:00AM ET",2.405,"SUN"
"M","Jordon Mutch",2500,"STK@CRY 10:00AM ET",4.417,"CRY"
"M","Liam Bridcutt",2500,"CHE@SUN 10:00AM ET",0,"SUN"
"M","William Buckley",2500,"CHE@SUN 10:00AM ET",0,"SUN"
"M","James McArthur",2500,"STK@CRY 10:00AM ET",4.750,"CRY"
"M","Ola Toivonen",2500,"CHE@SUN 10:00AM ET",2.875,"SUN"
"M","Callum McManaman",2500,"WBA@BOU 10:00AM ET",3.500,"WBA"
"M","Matthew James",2500,"EVE@LEI 12:30PM ET",0,"LEI"
"D","Philipp Wollscheid",2500,"STK@CRY 10:00AM ET",4.233,"STK"
"GK","Jed Steer",2500,"NEW@AVL 10:00AM ET",0,"AVL"
"M","Eunan O'Kane",2500,"WBA@BOU 10:00AM ET",1.688,"BOU"
"GK","Raphael Spiegel",2500,"SWA@WHU 10:00AM ET",0.000,"WHU"
"M","Jay Fulton",2500,"SWA@WHU 10:00AM ET",1.250,"SWA"
"D","John Stones",2500,"EVE@LEI 12:30PM ET",3.633,"EVE"
"GK","Jack Butland",2500,"STK@CRY 10:00AM ET",8.016,"STK"
"GK","Jamal Blackman",2500,"CHE@SUN 10:00AM ET",0,"CHE"
"GK","Jack Rose",2500,"WBA@BOU 10:00AM ET",0,"WBA"
"D","Sam Byram",2500,"SWA@WHU 10:00AM ET",5.125,"WHU"
"M","Jack Grealish",2500,"NEW@AVL 10:00AM ET",4.933,"AVL"
"GK","Jonny Maddison",2500,"EVE@LEI 12:30PM ET",0,"LEI"
"M","Francisco Junior",2500,"EVE@LEI 12:30PM ET",0,"EVE"
"M","Josh Wakefield",2500,"WBA@BOU 10:00AM ET",0,"BOU"
